tentativas,tentativas_certas,habilidade_id,estudante_id
3,0,1,6
3,2,2,6
3,0,3,6
3,1,4,6
3,1,5,6
3,2,6,6
3,2,7,6
3,2,8,6
3,0,9,6
3,1,10,6
3,1,1,7
3,1,2,7
3,0,3,7
3,2,4,7
3,2,5,7
3,0,6,7
3,1,7,7
3,1,8,7
3,1,9,7
3,2,10,7
2,2,1,8
2,0,2,8
2,0,3,8
2,1,4,8
2,0,5,8
2,0,6,8
2,1,7,8
2,1,8,8
2,1,9,8
2,1,10,8
2,1,1,9
2,2,2,9
2,1,3,9
2,2,4,9
2,0,5,9
2,0,6,9
2,0,7,9
2,1,8,9
2,0,9,9
2,1,10,9
1,1,1,10
1,0,2,10
1,0,3,10
1,1,4,10
1,1,5,10
1,0,6,10
1,1,7,10
1,1,8,10
1,0,9,10
1,0,10,10
3,1,1,11
3,1,2,11
3,0,3,11
3,0,4,11
3,0,5,11
3,1,6,11
3,0,7,11
3,0,8,11
3,0,9,11
3,2,10,11
3,0,1,13
3,2,2,13
3,0,3,13
3,0,4,13
3,0,5,13
3,1,6,13
3,2,7,13
3,0,8,13
3,2,9,13
3,0,10,13
3,2,1,14
3,1,2,14
3,0,3,14
3,3,4,14
3,2,5,14
3,1,6,14
3,0,7,14
3,1,8,14
3,1,9,14
3,1,10,14
2,1,1,15
2,1,2,15
2,1,3,15
2,0,4,15
2,2,5,15
2,1,6,15
2,1,7,15
2,1,8,15
2,1,9,15
2,1,10,15
3,1,1,16
3,0,2,16
3,0,3,16
3,2,4,16
3,1,5,16
3,1,6,16
3,2,7,16
3,0,8,16
3,1,9,16
3,0,10,16
1,0,1,18
1,0,2,18
1,0,3,18
1,0,4,18
1,1,5,18
1,0,6,18
1,0,7,18
1,0,8,18
1,0,9,18
1,0,10,18
3,0,1,19
3,2,2,19
3,1,3,19
3,2,4,19
3,1,5,19
3,0,6,19
3,1,7,19
3,1,8,19
3,2,9,19
3,0,10,19
1,0,1,20
1,1,2,20
1,0,3,20
1,0,4,20
1,0,5,20
1,0,6,20
1,0,7,20
1,0,8,20
1,1,9,20
1,0,10,20
4,2,1,21
4,1,2,21
4,0,3,21
4,2,4,21
4,4,5,21
4,0,6,21
4,2,7,21
4,1,8,21
4,2,9,21
4,1,10,21
2,1,1,22
2,1,2,22
2,1,3,22
2,0,4,22
2,0,5,22
2,2,6,22
2,2,7,22
2,0,8,22
2,0,9,22
2,0,10,22
2,1,1,23
2,1,2,23
2,0,3,23
2,1,4,23
2,0,5,23
2,0,6,23
2,0,7,23
2,0,8,23
2,0,9,23
2,0,10,23
4,2,1,24
4,0,2,24
4,0,3,24
4,3,4,24
4,1,5,24
4,1,6,24
4,0,7,24
4,2,8,24
4,2,9,24
4,0,10,24
2,1,1,25
2,0,2,25
2,1,3,25
2,1,4,25
2,0,5,25
2,0,6,25
2,0,7,25
2,0,8,25
2,1,9,25
2,0,10,25
2,1,1,26
2,0,2,26
2,0,3,26
2,2,4,26
2,1,5,26
2,0,6,26
2,2,7,26
2,1,8,26
2,0,9,26
2,0,10,26
2,1,1,27
2,0,2,27
2,0,3,27
2,1,4,27
2,0,5,27
2,0,6,27
2,1,7,27
2,0,8,27
2,0,9,27
2,0,10,27
1,0,1,29
1,0,2,29
1,1,3,29
1,0,4,29
1,0,5,29
1,0,6,29
1,1,7,29
1,0,8,29
1,0,9,29
1,0,10,29
3,2,1,30
3,0,2,30
3,0,3,30
3,1,4,30
3,0,5,30
3,1,6,30
3,0,7,30
3,0,8,30
3,0,9,30
3,1,10,30
2,1,1,32
2,0,2,32
2,1,3,32
2,0,4,32
2,1,5,32
2,0,6,32
2,0,7,32
2,1,8,32
2,1,9,32
2,0,10,32
2,0,1,33
2,0,2,33
2,0,3,33
2,0,4,33
2,1,5,33
2,0,6,33
2,1,7,33
2,0,8,33
2,0,9,33
2,1,10,33
3,2,1,34
3,1,2,34
3,1,3,34
3,1,4,34
3,1,5,34
3,1,6,34
3,2,7,34
3,1,8,34
3,1,9,34
3,0,10,34
4,0,1,35
4,0,2,35
4,0,3,35
4,0,4,35
4,0,5,35
4,0,6,35
4,1,7,35
4,0,8,35
4,3,9,35
4,0,10,35
5,1,1,37
5,0,2,37
5,0,3,37
5,3,4,37
5,1,5,37
5,3,6,37
5,1,7,37
5,2,8,37
5,1,9,37
5,1,10,37
1,1,1,39
1,1,2,39
1,0,3,39
1,0,4,39
1,0,5,39
1,0,6,39
1,0,7,39
1,0,8,39
1,0,9,39
1,0,10,39
3,0,1,40
3,0,2,40
3,0,3,40
3,0,4,40
3,1,5,40
3,0,6,40
3,1,7,40
3,0,8,40
3,0,9,40
3,1,10,40
4,1,1,41
4,2,2,41
4,1,3,41
4,2,4,41
4,0,5,41
4,1,6,41
4,2,7,41
4,2,8,41
4,2,9,41
4,0,10,41
