resposta,simulado_id,item_id
C,48,1
,74,1
E,48,2
E,1,3
B,2,3
C,9,3
B,11,3
E,12,3
B,13,3
E,16,3
B,17,3
B,18,3
D,19,3
A,41,3
E,44,3
C,51,3
D,59,3
B,62,3
C,68,3
E,69,3
E,71,3
A,72,3
B,79,3
A,83,3
,86,3
,93,3
D,2,5
B,4,5
C,5,5
,8,5
A,9,5
D,18,5
A,19,5
C,21,5
B,29,5
,30,5
B,34,5
B,35,5
C,38,5
C,42,5
C,45,5
D,46,5
C,50,5
B,57,5
B,58,5
C,61,5
A,64,5
B,71,5
D,82,5
C,83,5
C,84,5
C,66,6
A,3,9
C,5,9
C,6,9
C,7,9
B,21,9
E,29,9
A,30,9
D,34,9
C,37,9
C,38,9
B,42,9
C,43,9
A,45,9
A,46,9
E,49,9
C,53,9
E,57,9
E,58,9
D,61,9
C,64,9
A,65,9
B,76,9
C,78,9
A,82,9
C,88,9
,90,9
A,48,10
A,89,10
B,2,12
C,4,12
C,5,12
A,6,12
B,7,12
C,17,12
B,30,12
E,31,12
B,34,12
B,43,12
B,46,12
E,49,12
B,57,12
B,63,12
D,75,12
D,77,12
B,79,12
B,80,12
D,81,12
B,82,12
B,83,12
,90,12
,74,15
A,1,17
B,2,17
C,5,17
B,10,17
C,15,17
D,18,17
D,19,17
C,31,17
C,32,17
C,39,17
A,42,17
C,51,17
A,56,17
E,57,17
D,58,17
D,60,17
B,64,17
A,65,17
C,75,17
A,77,17
C,78,17
B,80,17
C,83,17
,86,17
C,91,17
C,1,18
D,3,18
C,6,18
A,10,18
B,11,18
A,12,18
A,13,18
D,17,18
C,31,18
D,32,18
D,36,18
D,41,18
D,47,18
B,51,18
B,54,18
D,56,18
D,60,18
E,65,18
A,67,18
B,72,18
E,76,18
D,77,18
D,80,18
,86,18
D,87,18
C,88,18
,93,18
B,89,21
,74,23
C,1,27
E,9,27
E,13,27
B,17,27
A,29,27
B,30,27
,36,27
A,38,27
A,39,27
A,42,27
B,44,27
B,51,27
D,56,27
C,61,27
D,62,27
E,65,27
C,67,27
D,72,27
B,75,27
A,77,27
,86,27
D,87,27
C,52,31
C,2,32
E,11,32
E,12,32
,18,32
E,19,32
E,34,32
B,35,32
C,43,32
C,46,32
A,53,32
A,54,32
A,56,32
E,57,32
D,58,32
D,59,32
B,61,32
C,71,32
E,72,32
B,75,32
C,77,32
C,79,32
B,80,32
B,81,32
B,84,32
B,85,32
,93,32
C,3,33
E,4,33
B,5,33
B,13,33
C,15,33
B,17,33
C,29,33
,30,33
D,32,33
B,36,33
B,37,33
A,38,33
B,42,33
D,45,33
D,46,33
E,49,33
D,51,33
E,59,33
B,61,33
E,65,33
B,67,33
C,72,33
B,75,33
C,81,33
D,82,33
B,84,33
E,66,35
,74,35
B,48,37
B,66,37
B,48,38
E,89,38
A,66,39
E,1,40
D,3,40
C,4,40
D,7,40
D,9,40
D,14,40
C,15,40
D,16,40
E,17,40
B,32,40
B,38,40
D,39,40
B,41,40
D,44,40
C,47,40
E,49,40
D,50,40
A,64,40
B,65,40
D,67,40
C,69,40
D,76,40
B,83,40
C,91,40
D,48,41
D,70,43
D,48,44
B,52,44
B,89,44
D,4,47
D,5,47
C,6,47
D,15,47
E,16,47
C,18,47
E,19,47
,30,47
D,31,47
D,37,47
B,46,47
E,51,47
B,57,47
A,58,47
C,59,47
B,62,47
A,71,47
D,72,47
A,75,47
B,76,47
C,78,47
D,79,47
C,81,47
D,82,47
D,83,47
D,85,47
,90,47
B,1,49
B,3,49
,8,49
B,9,49
B,10,49
B,12,49
B,14,49
,29,49
B,32,49
C,35,49
C,36,49
D,39,49
A,41,49
B,44,49
A,45,49
E,47,49
D,50,49
C,54,49
D,64,49
D,65,49
B,67,49
A,69,49
D,87,49
,93,49
A,52,50
B,52,52
C,70,52
B,66,54
C,73,54
C,66,57
D,70,57
A,89,57
D,3,58
C,7,58
,8,58
C,12,58
C,16,58
C,21,58
B,29,58
C,30,58
C,35,58
A,37,58
C,38,58
B,44,58
E,46,58
E,50,58
D,53,58
D,54,58
E,62,58
B,63,58
E,67,58
D,69,58
E,72,58
D,76,58
A,81,58
E,82,58
C,85,58
D,87,58
,90,58
D,66,59
C,73,59
,74,60
C,89,60
B,5,62
B,6,62
,8,62
A,10,62
A,13,62
A,21,62
A,29,62
,30,62
B,31,62
D,36,62
A,37,62
D,42,62
,45,62
A,51,62
D,60,62
A,62,62
A,63,62
A,68,62
A,78,62
D,82,62
,86,62
D,87,62
D,88,62
,90,62
A,48,63
A,1,64
B,14,64
C,16,64
B,21,64
A,31,64
B,36,64
C,42,64
B,51,64
E,59,64
D,60,64
A,62,64
D,67,64
D,71,64
C,72,64
B,76,64
C,78,64
C,79,64
B,80,64
B,82,64
C,85,64
D,87,64
,93,64
C,52,65
C,73,65
C,3,68
A,11,68
B,17,68
A,29,68
C,32,68
D,37,68
D,38,68
D,41,68
D,43,68
D,44,68
D,46,68
B,47,68
E,49,68
D,54,68
D,57,68
E,58,68
A,61,68
E,63,68
B,77,68
A,81,68
A,83,68
D,88,68
,90,68
C,91,68
,2,70
E,6,70
D,9,70
C,19,70
,30,70
B,32,70
D,35,70
B,36,70
B,41,70
C,42,70
E,43,70
C,46,70
B,59,70
D,60,70
C,65,70
D,67,70
C,69,70
A,72,70
A,77,70
D,79,70
B,81,70
B,82,70
